review,actual_sentiment,predicted_sentiment,correct_prediction,error_type
never got flight confirmation hold hour cannot info online,neutral,negative,False,neutral -> negative
flexibility nice love flexible not trying,negative,positive,False,negative -> positive
luved sjc gate agent boarded flight dal did not represents brand,positive,negative,False,positive -> negative
thanks dm rescheduling unfortunately operations process lax chaos reps refused print ticket,negative,neutral,False,negative -> neutral
better price changed minutes talked lady honored cheap,positive,negative,False,positive -> negative
row flight today looking specifics run home depot wd need,negative,neutral,False,negative -> neutral
sounds fun does work,neutral,positive,False,neutral -> positive
hold music sounds like super mario bros gameboy color,neutral,positive,False,neutral -> positive
thanks airlines said located aa detroit informed flew aa not matter,positive,negative,False,positive -> negative
ticks,negative,neutral,False,negative -> neutral
took away st class seat love chairman preferred assigned row seat b middle seat,negative,neutral,False,negative -> neutral
no oscars direct tv flight looking forward devastated,negative,neutral,False,negative -> neutral
flying va life happens trying change trip jperhi help va home page not let,neutral,negative,False,neutral -> negative
airlines claims low fare guarantee not honor lower fare,negative,neutral,False,negative -> neutral
idea going terminal jfk zero traffic movement,negative,neutral,False,negative -> neutral
airline trouble winter not getting good customer service contact negotiate resolutions,neutral,negative,False,neutral -> negative
airlines told cannot open cabin door closed plane times tonight,neutral,negative,False,neutral -> negative
okay thank,neutral,positive,False,neutral -> positive
happily wait terminal near food restrooms non irritated passengers,negative,neutral,False,negative -> neutral
flight tomorrow wed den bna delayed cancelled flightled,neutral,negative,False,neutral -> negative
plane sounds like dj scratching normal eventually new entertainment fee,negative,positive,False,negative -> positive
just heard monterey airport closed fog updates,neutral,negative,False,neutral -> negative
amazing watch travels celebs world youth america not fly,neutral,positive,False,neutral -> positive
question not possible book seat infant not giving option want seat,negative,neutral,False,negative -> neutral
current promotions codes nashville denver thank,neutral,positive,False,neutral -> positive
thanks seat year old broken tv flights year airline,negative,positive,False,negative -> positive
lets chat flights bwi carolina area girl break resort usair day,negative,neutral,False,negative -> neutral
not aa,neutral,negative,False,neutral -> negative
hey upgraded hour international flight forgive thank,positive,neutral,False,positive -> neutral
really big bad thing,negative,positive,False,negative -> positive
mom s baggage lost fly fort lauderdale bogot today colombian employees treated badly need help,negative,neutral,False,negative -> neutral
thank months ago weird not club busiest airports,positive,neutral,False,positive -> neutral
just look rdu airport think safety passengers cant rdu safely,negative,neutral,False,negative -> neutral
confusing web site complicated ordering process typically fly,negative,neutral,False,negative -> neutral
deserves red carpet tx destroy luggage voucher like want fly w,negative,positive,False,negative -> positive
