word,frequency
product,7
quality,5
delivery,4
service,4
app,3
works,3
purchase,3
experience,3
arrived,3
customer,3
support,3
happy,2
recommend,2
good,2
packaging,2
late,2
damaged,2
fast,1
food,1
fresh,1
excellent,1
friendly,1
staff,1
loved,1
easy,1
use,1
perfectly,1
great,1
amazing,1
definitely,1
time,1
packed,1
solved,1
problem,1
quickly,1
price,1
quick,1
neat,1
overall,1
looks,1
nice,1
satisfied,1
pleasant,1
useful,1
little,1
faster,1
okay,1
special,1
took,1
longer,1
expected,1
average,1
acceptable,1
things,1
improve,1
slow,1
respond,1
disappointing,1
crashed,1
times,1
stopped,1
working,1
days,1
terrible,1
poor,1
extremely,1
item,1
did,1
help,1
frustrating,1
